"99","11 mins","5","3","Todo bien, sin ninguna nota","18","141"
"100","11 mins","5","3","Todo bien, sin ninguna nota","18","138"
"101","11 mins","5","3","Todo bien, sin ninguna nota","18","143"
"102","11 mins","5","3","Todo bien, sin ninguna nota","18","145"
"103","11 mins","3","3","Todo bien, sin ninguna nota","18","144"
"104","11 mins","3","3","Todo bien, sin ninguna nota","18","147"
"105","12 mins","4","3","Todo bien, sin ninguna nota","18","146"
"106","12 mins","4","3","Todo bien, sin ninguna nota","18","148"
"107","12 mins","3","3","Todo bien, sin ninguna nota","18","149"
"108","12 mins","3","3","Todo bien, sin ninguna nota","18","153"
"109","12 mins","3","3","Todo bien, sin ninguna nota","18","155"
"110","12 mins","3","3","Todo bien, sin ninguna nota","18","156"
